event_type,sub_event_type,actor1,inter1,admin2,source_scale,fatalities
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,South Cotabato,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Leyte,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Batangas,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cagayan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Oriental,Subnational,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Ilocos Norte,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Nueva Ecija,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Cotabato,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Nueva Ecija,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Romblon,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Iloilo,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Agusan del Norte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Agusan del Norte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Agusan del Norte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Agusan del Norte,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cebu,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,Subnational-National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Bohol,Subnational-National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cebu,Subnational-National,0
Protests,Peaceful protest,Protesters (Philippines),6,Agusan del Norte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Agusan del Norte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Surigao del Norte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,South Cotabato,Subnational,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Eastern Samar,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cagayan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Southern Leyte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,South Cotabato,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Pampanga,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cebu,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Mountain Province,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,3
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Lanao del Sur,National-International,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Southern Leyte,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Maguindanao,National-International,2
