cmname,price
"Rice (regular, milled) - Wholesale",34.12
"Rice (regular, milled) - Retail",29.2
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",28.4
"Rice (regular, milled) - Retail",29
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30
"Rice (regular, milled) - Retail",30.5
"Rice (regular, milled) - Retail",31.2
"Rice (regular, milled) - Retail",41.33
"Rice (regular, milled) - Retail",41.2
"Rice (regular, milled) - Retail",41.2
"Rice (regular, milled) - Retail",41.2
"Rice (regular, milled) - Retail",41.3
"Rice (regular, milled) - Retail",41.2
"Rice (regular, milled) - Retail",40.8
"Rice (regular, milled) - Retail",40.8
"Rice (regular, milled) - Retail",39.83
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.37
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.4
"Rice (regular, milled) - Retail",39.03
"Rice (regular, milled) - Retail",39.03
"Rice (regular, milled) - Retail",39.18
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",38.31
"Rice (regular, milled) - Retail",37.8
"Rice (regular, milled) - Retail",37.8
"Rice (regular, milled) - Retail",37.77
"Rice (regular, milled) - Retail",37.8
"Rice (regular, milled) - Retail",37.8
"Rice (regular, milled) - Retail",35.53
"Rice (regular, milled) - Retail",34.37
"Rice (regular, milled) - Retail",35.74
"Rice (regular, milled) - Retail",38.77
"Rice (regular, milled) - Retail",39.2
"Rice (regular, milled) - Retail",40.12
"Rice (regular, milled) - Retail",41.2
"Rice (regular, milled) - Retail",41.85
"Rice (regular, milled) - Retail",42.72
"Rice (regular, milled) - Retail",43.01
"Rice (regular, milled) - Retail",43.4
"Rice (regular, milled) - Retail",39.28
"Rice (regular, milled) - Retail",39
"Rice (regular, milled) - Retail",38.85
"Rice (regular, milled) - Retail",38.85
"Rice (regular, milled) - Retail",38.72
"Rice (regular, milled) - Retail",36.48
"Rice (regular, milled) - Retail",36.52
Sweet potatoes - Retail,24.92
Sweet potatoes - Retail,28.37
Sweet potatoes - Retail,25.25
Sweet potatoes - Retail,26.57
Sweet potatoes - Retail,27.18
Sweet potatoes - Retail,25.33
Sweet potatoes - Retail,28
Sweet potatoes - Retail,27.27
Sweet potatoes - Retail,30.5
Sweet potatoes - Retail,32.67
Sweet potatoes - Retail,32.09
Sweet potatoes - Retail,37.6
Sweet potatoes - Retail,35.23
Sweet potatoes - Retail,36.83
Sweet potatoes - Retail,35.7
Sweet potatoes - Retail,31.45
Sweet potatoes - Retail,27.67
Sweet potatoes - Retail,32
Sweet potatoes - Retail,32.77
Sweet potatoes - Retail,32.45
Sweet potatoes - Retail,29.45
Sweet potatoes - Retail,32.62
Sweet potatoes - Retail,38.27
Sweet potatoes - Retail,30.3
Sweet potatoes - Retail,50.83
Sweet potatoes - Retail,49.92
Sweet potatoes - Retail,47.08
Sweet potatoes - Retail,43.43
Sweet potatoes - Retail,41.85
Sweet potatoes - Retail,42
Sweet potatoes - Retail,47.21
Sweet potatoes - Retail,42.58
Sweet potatoes - Retail,42
Sweet potatoes - Retail,39.83
Sweet potatoes - Retail,41.14
Sweet potatoes - Retail,41.42
Sweet potatoes - Retail,41.83
Sweet potatoes - Retail,41.23
Sweet potatoes - Retail,46
Sweet potatoes - Retail,41.33
Sweet potatoes - Retail,45.77
Sweet potatoes - Retail,45.54
Sweet potatoes - Retail,42
Sweet potatoes - Retail,39.1
Sweet potatoes - Retail,53.5
Sweet potatoes - Retail,48.58
Sweet potatoes - Retail,50.31
Sweet potatoes - Retail,47.58
Sweet potatoes - Retail,46.25
Sweet potatoes - Retail,54.17
Sweet potatoes - Retail,54.17
Sweet potatoes - Retail,63
Sweet potatoes - Retail,66
Sweet potatoes - Retail,56.83
Sweet potatoes - Retail,60.17
Sweet potatoes - Retail,72.55
Sweet potatoes - Retail,68
Sweet potatoes - Retail,67.5
Sweet potatoes - Retail,58.83
Sweet potatoes - Retail,55.69
Sweet potatoes - Retail,56
Sweet potatoes - Retail,56
Sweet potatoes - Retail,64.15
Sweet potatoes - Retail,68
Sweet potatoes - Retail,68.15
Sweet potatoes - Retail,66.5
Sweet potatoes - Retail,68.62
Sweet potatoes - Retail,68
Sweet potatoes - Retail,61.08
Sweet potatoes - Retail,57.92
Sweet potatoes - Retail,50.93
Sweet potatoes - Retail,46
Sweet potatoes - Retail,45.21
Sweet potatoes - Retail,46
Sweet potatoes - Retail,46.23
Sweet potatoes - Retail,74.77
Sweet potatoes - Retail,88
Sweet potatoes - Retail,79.54
Sweet potatoes - Retail,80.5
Sweet potatoes - Retail,76
Sweet potatoes - Retail,60.31
Sweet potatoes - Retail,46.33
Sweet potatoes - Retail,46.23
Sweet potatoes - Retail,44
Sweet potatoes - Retail,45.67
Sweet potatoes - Retail,52
Sweet potatoes - Retail,64.92
Sweet potatoes - Retail,73.43
Sweet potatoes - Retail,110
Sweet potatoes - Retail,94.14
Sweet potatoes - Retail,84.77
Sweet potatoes - Retail,82.62
Sweet potatoes - Retail,63.62
Sweet potatoes - Retail,46.75
Sweet potatoes - Retail,39.46
Sweet potatoes - Retail,40.23
Sweet potatoes - Retail,45.38
Eggs - Retail,4.51
Eggs - Retail,4.52
Eggs - Retail,4.54
Eggs - Retail,4.86
Eggs - Retail,4.86
Eggs - Retail,4.85
Eggs - Retail,4.95
Eggs - Retail,4.93
Eggs - Retail,4.96
Eggs - Retail,4.96
Eggs - Retail,4.96
Eggs - Retail,4.96
Eggs - Retail,4.96
Eggs - Retail,4.95
Eggs - Retail,4.96
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.92
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.92
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,4.93
Eggs - Retail,9.8
Eggs - Retail,9.8
Eggs - Retail,9.8
Eggs - Retail,9.8
Eggs - Retail,9.98
Eggs - Retail,9.77
Eggs - Retail,8.92
Eggs - Retail,8.64
Eggs - Retail,8.02
Eggs - Retail,8.05
Eggs - Retail,8.05
Eggs - Retail,7.72
Eggs - Retail,7.7
Eggs - Retail,7.77
Eggs - Retail,8.66
Eggs - Retail,8.7
Eggs - Retail,5.72
Eggs - Retail,5.71
